,UserId,ProductId,Rating,UserCluster,ProductCluster
0,1679,0,5.0,8,8
1,3384,0,2.0,8,8
2,14697,0,1.0,8,8
3,8522,0,3.0,8,8
4,12488,0,5.0,8,8
5,10974,0,2.0,8,8
6,10273,0,1.0,8,8
7,15659,0,4.0,8,8
8,14715,0,3.0,8,8
9,4370,0,5.0,8,8
10,1187,1,2.0,8,8
11,9523,1,5.0,8,8
12,15447,1,2.0,8,8
13,7965,1,2.0,8,8
14,776,1,5.0,8,8
15,8120,1,4.0,8,8
16,9005,1,5.0,8,8
17,1633,1,1.0,8,8
18,2221,1,5.0,8,8
19,13894,1,4.0,8,8
20,2128,1,2.0,8,8
21,12755,1,5.0,8,8
22,1504,2,5.0,8,8
23,8535,2,5.0,8,8
24,6319,2,5.0,8,8
25,9985,2,4.0,8,8
26,3757,2,3.0,8,8
27,4432,2,5.0,8,8
28,7481,2,3.0,6,8
29,1277,2,5.0,8,8
30,4957,2,5.0,8,8
31,15495,2,1.0,8,8
32,3147,2,5.0,8,8
33,4072,2,5.0,8,8
34,2682,2,5.0,6,8
35,4944,2,5.0,8,8
36,14416,3,5.0,8,3
37,569,3,4.0,8,3
38,13243,3,3.0,8,3
39,13283,3,5.0,8,3
40,15532,3,5.0,8,3
41,9778,3,4.0,9,3
42,6600,3,5.0,8,3
43,15491,4,5.0,8,3
44,2430,4,5.0,8,3
45,15099,4,1.0,8,3
46,2898,4,5.0,8,3
47,1940,4,1.0,8,3
48,7539,4,5.0,8,3
49,13445,4,2.0,8,3
50,13828,4,2.0,8,3
51,7631,4,5.0,8,3
52,12312,4,5.0,8,3
53,13050,4,5.0,8,3
54,12424,4,5.0,8,3
55,9701,4,5.0,8,3
56,10686,4,5.0,8,3
57,14508,4,5.0,8,3
58,4372,4,5.0,8,3
59,15578,4,5.0,8,3
60,11839,4,5.0,9,3
61,6611,4,5.0,8,3
62,14917,4,4.0,8,3
63,4480,4,2.0,9,3
64,3295,4,5.0,8,3
65,15582,4,5.0,8,3
66,8831,4,5.0,8,3
67,6079,4,5.0,8,3
68,10139,4,5.0,8,3
69,11400,4,4.0,8,3
70,9948,4,5.0,8,3
71,12269,4,5.0,8,3
72,5190,4,5.0,8,3
73,12582,4,5.0,8,3
74,608,4,5.0,8,3
75,14832,5,4.0,8,8
76,14,5,5.0,8,8
77,13331,5,4.0,8,8
78,11706,5,5.0,8,8
79,9437,5,5.0,8,8
80,3898,5,2.0,8,8
81,14170,5,1.0,6,8
82,12237,5,5.0,8,8
83,2908,5,2.0,8,8
84,77,5,3.0,8,8
85,5257,5,2.0,8,8
86,5332,5,4.0,8,8
87,14645,5,5.0,8,8
88,1621,5,5.0,8,8
89,13527,5,5.0,8,8
90,13358,5,5.0,8,8
91,5887,5,3.0,8,8
92,3611,5,2.0,8,8
93,11493,5,2.0,8,8
94,1630,5,5.0,8,8
95,15161,5,5.0,8,8
96,15703,5,2.0,8,8
97,12233,5,5.0,8,8
98,6512,5,3.0,8,8
99,4409,5,4.0,8,8
100,4634,5,2.0,8,8
101,11508,5,3.0,8,8
102,323,5,5.0,8,8
103,7972,5,5.0,8,8
104,14630,5,5.0,8,8
105,1881,5,4.0,8,8
106,5960,6,3.0,8,8
107,6692,6,5.0,8,8
108,1725,6,2.0,8,8
109,5177,6,4.0,6,8
110,609,6,5.0,8,8
111,12954,6,3.0,8,8
112,3870,6,3.0,8,8
113,3227,6,5.0,8,8
114,14207,6,5.0,8,8
115,6072,6,2.0,8,8
116,10862,6,4.0,8,8
117,5713,6,4.0,8,8
118,10706,6,4.0,8,8
119,297,6,5.0,8,8
120,13701,6,5.0,8,8
121,1175,6,4.0,8,8
122,8617,6,5.0,8,8
123,13828,6,5.0,8,8
124,496,6,1.0,8,8
125,1050,7,4.0,8,8
126,9874,7,2.0,8,8
127,15081,7,5.0,8,8
128,2670,7,5.0,8,8
129,8304,7,4.0,8,8
130,56,7,4.0,8,8
131,15346,7,3.0,8,8
132,2095,7,5.0,8,8
133,14441,7,4.0,8,8
134,7803,7,2.0,8,8
135,10669,7,2.0,8,8
136,6512,7,1.0,8,8
137,4021,7,3.0,8,8
138,4844,7,5.0,8,8
139,12537,7,3.0,8,8
140,4695,7,5.0,8,8
141,15541,7,1.0,8,8
142,14004,7,5.0,8,8
143,11883,7,5.0,8,8
144,9349,7,1.0,8,8
145,14109,7,3.0,8,8
146,1967,8,4.0,8,8
147,4778,8,5.0,8,8
148,7657,8,5.0,8,8
149,2459,8,3.0,8,8
150,8912,8,5.0,8,8
151,222,8,3.0,8,8
152,3640,8,3.0,8,8
153,12945,8,5.0,8,8
154,14959,9,4.0,8,8
155,5602,9,2.0,8,8
156,9984,9,5.0,8,8
157,2238,9,5.0,8,8
158,10947,9,3.0,8,8
159,5843,9,4.0,8,8
160,14612,9,4.0,8,8
161,4159,9,5.0,8,8
