,UserId,ProductId,Rating
1279792,11947,3060,4.0
1279397,4216,3060,5.0
1279063,14553,3060,5.0
1280299,195,3060,5.0
1279938,6023,3060,5.0
1280273,13627,3060,5.0
1279298,8803,3060,4.0
1278783,13807,3060,5.0
1280336,3485,3060,5.0
1279716,34,3060,5.0
1279919,1560,3060,5.0
1279118,4055,3060,5.0
1279050,8856,3060,4.0
1279489,12241,3060,4.0
1279354,14038,3060,5.0
1279697,2926,3060,5.0
1279228,7185,3060,5.0
1279960,15632,3060,4.0
1279237,9315,3060,5.0
1280152,15126,3060,5.0
1278788,11543,3060,5.0
1279791,8192,3060,5.0
1279231,10066,3060,5.0
1279981,9845,3060,5.0
1279976,10396,3060,5.0
1279040,7864,3060,5.0
1279521,13617,3060,5.0
1280499,3633,3060,5.0
1279720,14222,3060,5.0
1279003,12982,3060,5.0
1280264,9076,3060,5.0
1279246,2425,3060,5.0
1279825,15857,3060,5.0
1280387,3220,3060,5.0
1280457,1845,3060,5.0
1279576,120,3060,5.0
1280347,2824,3060,3.0
1279930,1204,3060,5.0
1279850,5278,3060,5.0
1279130,1458,3060,5.0
1279262,2064,3060,5.0
1279832,7020,3060,5.0
1279116,14370,3060,5.0
1279896,4804,3060,5.0
1279079,11564,3060,5.0
1280271,5089,3060,4.0
1279565,13409,3060,5.0
1279653,13759,3060,5.0
1279281,15870,3060,5.0
1279841,11817,3060,5.0
1278886,15587,3060,5.0
1279712,9584,3060,3.0
1280031,15119,3060,5.0
1279049,15882,3060,5.0
1279194,9289,3060,3.0
1280281,10529,3060,5.0
1279755,8008,3060,5.0
1279087,13021,3060,3.0
1279906,2143,3060,4.0
1279421,15455,3060,5.0
1280099,10927,3060,5.0
1279441,861,3060,5.0
1280505,1511,3060,4.0
1278794,15894,3060,5.0
1279984,11937,3060,5.0
1279244,4518,3060,5.0
1279589,4821,3060,3.0
1280353,15079,3060,5.0
1279458,11475,3060,5.0
1278957,11431,3060,5.0
1279635,4696,3060,5.0
1279147,9419,3060,5.0
1278754,4066,3060,5.0
1279424,3933,3060,4.0
1279376,1388,3060,5.0
1280301,6795,3060,5.0
1278881,2838,3060,5.0
1279317,4268,3060,5.0
1279515,5068,3060,3.0
1279600,5035,3060,5.0
1279090,6759,3060,3.0
1279956,7453,3060,5.0
1280032,1330,3060,5.0
1278709,15585,3060,5.0
1279902,170,3060,5.0
1280259,13468,3060,5.0
1279539,7386,3060,5.0
1278910,12419,3060,5.0
1280443,12637,3060,5.0
1279876,9663,3060,5.0
1279260,11455,3060,5.0
1279442,14690,3060,5.0
1279815,15014,3060,5.0
1279295,11136,3060,5.0
1278954,5294,3060,5.0
1278933,1851,3060,5.0
1278960,2044,3060,5.0
1279955,14939,3060,5.0
1279055,15004,3060,5.0
1278738,1402,3060,5.0
1279479,320,3060,4.0
1279233,15898,3060,5.0
1279353,7487,3060,5.0
1278685,1624,3060,5.0
1279477,13976,3060,5.0
1279934,7775,3060,2.0
1279998,6075,3060,5.0
1280311,4602,3060,5.0
1278839,11322,3060,4.0
1279809,11783,3060,5.0
1278773,3388,3060,3.0
1280225,9011,3060,4.0
1280262,12216,3060,5.0
1278967,154,3060,5.0
1278907,12957,3060,5.0
1279115,7166,3060,5.0
1278802,7801,3060,5.0
1280159,14321,3060,5.0
1279232,5093,3060,5.0
1279870,1935,3060,5.0
1279926,5258,3060,5.0
1279091,8303,3060,5.0
1280134,4420,3060,4.0
1280044,6214,3060,5.0
1278831,1211,3060,5.0
1278912,14598,3060,5.0
1280287,13381,3060,5.0
1279127,2070,3060,5.0
1280355,1356,3060,2.0
1278964,9230,3060,5.0
1280498,7903,3060,4.0
1280221,7561,3060,5.0
1280280,7220,3060,4.0
1279400,10090,3060,5.0
1279966,8187,3060,5.0
1278691,6635,3060,2.0
